Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,Name,Tone Mode,CTCSS,Rx CTCSS,DCS,DCS Polarity,Skip,Step,Bank,Bank Channel Number,Comment,Digital Squelch,Digital Code,Your Callsign,Rpt-1 CallSign,Rpt-2 CallSign
1,145.5500,144.95,600 kHz,#NAME?,DV,D-Star Union V,None,88.5 Hz,88.5 Hz,23,Both N,Off,10 kHz,A: ,,,Off,0,CQCQCQ,,
2,444.1000,449.1,5.00 MHz,#NAME?,DV,VA3AAR B,None,88.5 Hz,88.5 Hz,23,Both N,Off,25 kHz,F: ,,,Off,0,,,
3,444.8000,449.8,5.00 MHz,#NAME?,DV,DSTAR Rideau U,None,88.5 Hz,88.5 Hz,23,Both N,Off,10 kHz,A: ,,,Off,0,,,
4,147.2400,147.84,600 kHz,#NAME?,DV,VA3RDD,None,94.8 Hz,94.8 Hz,23,Both N,Off,5 kHz, ,,Talk Channel,Off,0,,,
5,444.8000,449.8,5.00 MHz,#NAME?,DV,VA3RDD ,None,94.8 Hz,94.8 Hz,23,Both N,Off,5 kHz, ,,Status Channel,Off,0,,,
6,145.4300,144.83,600 kHz,#NAME?,FM,VE3UCR Foymount,T Sql,88.5 Hz,114.8 Hz,23,Both N,Off,5 kHz, ,,,Off,0,,,
7,147.0600,146.46,600 kHz,#NAME?,FM,VE3STP St. Patrick,Tone,114.8 Hz,114.8 Hz,23,Both N,Off,5 kHz,A: ,,,Off,0,,,
10,146.9550,146.355,600 kHz,#NAME?,FM,VE3LCA/R Perth,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz, ,,,Off,0,,,
11,146.8650,146.265,600 kHz,#NAME?,FM,VE3HTN Toledo*,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz, ,,,Off,0,,,
12,442.2000,447.2,5.00 MHz,#NAME?,FM,VE3REX Rideau Ferry*,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,25 kHz, ,,,Off,0,,,
13,442.4000,447.4,5.00 MHz,#NAME?,FM,VE3WPO Westport Legion*,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,25 kHz, ,,,Off,0,,,
14,147.2700,147.87,600 kHz,#NAME?,FM,VE3ARE Almonte*,Tone,100.0 Hz,100.0 Hz,23,Both N,Off,5 kHz, ,,,Off,0,,,
15,146.9100,146.31,600 kHz,#NAME?,FM,VE3ZZR Horton,None,88.5 Hz,88.5 Hz,23,Both N,Off,5 kHz, ,,,Off,0,,,
30,443.2000,448.2,5.00 MHz,#NAME?,FM,Arnprior Primary: Fire Hall,Tone,114.8 Hz,114.8 Hz,23,Both N,Off,25 kHz, ,,,Off,0,,,
67,147.0600,146.46,600 kHz,#NAME?,FM,VE3STP MT St Pat,Tone,114.8 Hz,88.5 Hz,23,Both N,Off,5 kHz,A: ,,,Off,0,,,
68,147.2700,147.87,600 kHz,#NAME?,FM,VA3WJC Almonte,Tone,100.0 Hz,88.5 Hz,23,Both N,Off,5 kHz,A: ,,,Off,0,,,
70,444.3000,449.3,5.00 MHz,#NAME?,FM,VA3ARE Fire Hall,Tone,100.0 Hz,88.5 Hz,23,Both N,Off,25 kHz, ,,,Off,0,,,
