Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL
1,VE2CRA,146.940000,-,0.600000,TSQL,100.0,100.0,023,NN,FM,5.00,,Camp Fortune,,,
2,VA3EMV/W,145.210000,-,0.600000,TSQL,123.0,123.0,023,NN,FM,5.00,,Stittsville,,,
3,VE3KJG,146.640000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Lavant,,,
4,VA3TEL,145.230000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,Christie Lake,,,
5,U-VE3WPO,442.400000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,,Westport,,,
6,U-VE3REX,442.200000,+,5.000000,Tone,100.0,100.0,023,NN,FM,6.25,,Rideau Ferry,,,
7,VE3FRG,146.805000,-,0.600000,TSQL,203.5,203.5,023,NN,FM,5.00,,Kingston,,,
8,U-VE3FRG,445.137500,+,5.000000,TSQL,203.5,203.5,023,NN,FM,6.25,,Kingston,,,
9,147570,147.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
10,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,
